speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
SERVINGMAN_LADY CAPULET,89,9.0,1.0,4.0,0.0,3.0,1.0,6.0,13.0,2.0,2.0,8.0,2.0,1.0,7.0,0.0,8.0,0.0,0.0,3.0,1.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,12.0,9.0,0.0,0.0,12.0,35.0,3.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0
ROMEO_OTHER CAPULET,296,24.0,0.0,3.0,0.0,7.0,8.0,14.0,16.0,1.0,0.0,14.0,2.0,3.0,17.0,12.0,16.0,0.0,0.0,4.0,2.0,9.0,1.0,0.0,16.0,22.0,2.0,0.0,1.0,2.0,13.0,1.0,12.0,13.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,15.0,10.0,0.0,1.0,31.0,81.0,8.0,1.0,2.0,2.0,1.0,11.0,5.0,1.0,6.0,9.0,4.0,2.0,2.0,6.0,1.0,6.0,2.0
CAPULET_PARIS,920,88.0,5.0,19.0,2.0,23.0,38.0,17.0,86.0,22.0,5.0,70.0,19.0,9.0,68.0,6.0,14.0,14.0,3.0,21.0,1.0,53.0,5.0,6.0,35.0,49.0,11.0,6.0,3.0,13.0,47.0,6.0,3.0,24.0,3.0,13.0,1.0,13.0,3.0,1.0,0.0,9.0,109.0,73.0,2.0,13.0,111.0,332.0,5.0,8.0,7.0,14.0,5.0,23.0,6.0,15.0,27.0,26.0,3.0,10.0,5.0,29.0,3.0,14.0,5.0
CAPULET_GREGORY,32,4.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BALTHASAR_PARIS,199,17.0,0.0,6.0,0.0,7.0,3.0,2.0,19.0,5.0,0.0,17.0,3.0,3.0,10.0,1.0,2.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,3.0,9.0,5.0,0.0,1.0,8.0,8.0,3.0,1.0,9.0,0.0,1.0,0.0,6.0,2.0,5.0,0.0,3.0,18.0,25.0,1.0,1.0,24.0,68.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,2.0,5.0,7.0,0.0,4.0,0.0,9.0,3.0,6.0,1.0
PETER_SECOND MUSICIAN,212,26.0,0.0,5.0,1.0,2.0,3.0,13.0,19.0,2.0,0.0,8.0,13.0,2.0,12.0,2.0,2.0,0.0,0.0,5.0,6.0,16.0,12.0,0.0,10.0,13.0,2.0,0.0,0.0,0.0,9.0,0.0,2.0,11.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0,10.0,0.0,0.0,28.0,72.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,10.0,1.0,2.0,1.0,3.0,0.0,6.0,0.0,3.0,0.0
MONTAGUE_LADY CAPULET,365,30.0,0.0,13.0,0.0,10.0,13.0,9.0,29.0,7.0,4.0,33.0,6.0,4.0,34.0,1.0,2.0,2.0,0.0,9.0,0.0,19.0,3.0,0.0,10.0,19.0,4.0,4.0,3.0,5.0,15.0,0.0,1.0,8.0,4.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,43.0,39.0,0.0,5.0,40.0,133.0,2.0,8.0,10.0,0.0,4.0,12.0,2.0,8.0,8.0,18.0,0.0,5.0,1.0,17.0,0.0,8.0,0.0
CITIZENS_MERCUTIO,35,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CITIZENS_FRIAR LAURENCE,35,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BOY_PAGE,64,4.0,0.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
