speaker_listener,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
ARRAGON_PORTIA,0.19331000104074655,0.0,0.08401760195980583,0.00303951367781155,0.07777178829613776,0.08987713853404175,0.015197568389057751,0.3286314049278015,0.11326258035764322,0.05090785123195038,0.21286402779593894,0.038749796520704184,0.00911854103343465,0.2957314713754667,0.00303951367781155,0.038749796520704184,0.0,0.0,0.06002639226538503,0.017745396030752727,0.26860501266241654,0.0060790273556231,0.0,0.08059181119256213,0.14897286320053585,0.03620196887900921,0.017964886812139907,0.0,0.021004400489951457,0.21161813407484303,0.03289025994646826,0.023824423386375825,0.15456020452004238,0.042008800979902915,0.05671468333284409,0.0,0.038969287302091364,0.014705882352941176,0.08053910671921992,0.0,0.03289025994646826,0.10181570246390076,0.2613294603328788,0.00303951367781155,0.0,0.2710817893368843,1.423684589745711,0.0,0.042008800979902915,0.06306590594319658,0.00911854103343465,0.035929773624279814,0.12260061217246504,0.00911854103343465,0.06588592883962095,0.16098247809762203,0.023824423386375825,0.024043914167763008,0.07446007936359682,0.014925373134328358,0.13475866688371124,0.0,0.06838105200797372,0.0
LORENZO_PORTIA,0.6920196952805648,0.0,0.31067911557041994,0.0,0.05,0.2328502415458937,0.21436335403726708,0.7078933747412008,0.1940734989648033,0.025,0.8013795986622072,0.3824182460052025,0.10090579710144927,0.657470005839571,0.04673913043478261,0.1995680044593088,0.0,0.0,0.3272342995169082,0.0125,0.5116977225672878,0.14914596273291925,0.1,0.39625603864734293,0.4397342995169081,0.12771739130434784,0.16666666666666666,0.0125,0.07771739130434782,0.5385093167701863,0.0,0.11014492753623188,0.1443840579710145,0.021739130434782608,0.0375,0.07692307692307693,0.25785024154589375,0.0,0.08097826086956522,0.0,0.0,1.2837281679672985,0.8428743961352657,0.0,0.05597826086956521,0.7420196952805649,2.8960642618251313,0.043478260869565216,0.11340579710144927,0.1361111111111111,0.33301282051282055,0.0,0.3617574454530976,0.021739130434782608,0.07916666666666666,0.12173913043478261,0.06521739130434782,0.0,0.15869565217391304,0.0,0.1486111111111111,0.043478260869565216,0.043478260869565216,0.0125
BASSANIO_JESSICA,0.1013157894736842,0.0,0.06763157894736842,0.0,0.06263157894736841,0.05131578947368421,0.015,0.1576315789473684,0.07763157894736841,0.005,0.14526315789473684,0.03,0.0,0.13894736842105262,0.02631578947368421,0.06131578947368421,0.0,0.0,0.06263157894736841,0.005,0.09131578947368421,0.0,0.0,0.15526315789473683,0.17526315789473684,0.01,0.0,0.04131578947368421,0.05,0.06631578947368422,0.04131578947368421,0.04131578947368421,0.06131578947368421,0.015,0.05263157894736842,0.005,0.02631578947368421,0.005,0.06263157894736841,0.0,0.0,0.18394736842105264,0.17526315789473684,0.0,0.0,0.16394736842105262,0.6971052631578947,0.005,0.035,0.005,0.04631578947368421,0.005,0.07631578947368421,0.005,0.01,0.01,0.01,0.01,0.025,0.01,0.07763157894736841,0.005,0.02,0.005
LAUNCELOT_GRATIANO,0.14250000000000002,0.0,0.0625,0.0,0.1875,0.12,0.0,0.1875,0.0,0.0,0.4116666666666666,0.0625,0.0,0.34750000000000003,0.0,0.0,0.0,0.0,0.04,0.0,0.125,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.08,0.0,0.0625,0.0,0.16666666666666666,0.0,0.08,0.0,0.0,0.26916666666666667,0.10250000000000001,0.0,0.0,0.33,0.8825000000000001,0.0,0.0,0.0625,0.20666666666666667,0.0,0.08,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORENZO_SOLANIO,0.2754329004329004,0.0,0.07142857142857142,0.0,0.15476190476190477,0.3051948051948052,0.1845238095238095,0.19047619047619047,0.09090909090909091,0.0,0.37662337662337664,0.0,0.09090909090909091,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.0,0.16233766233766234,0.0,0.11309523809523808,0.041666666666666664,0.0,0.07738095238095238,0.11904761904761904,0.11309523809523808,0.0,0.0,0.0,0.1488095238095238,0.14285714285714285,0.10714285714285714,0.09090909090909091,0.07738095238095238,0.09090909090909091,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.26785714285714285,0.49296536796536794,0.0,0.0,0.43019480519480524,1.344155844155844,0.10714285714285714,0.0,0.03571428571428571,0.041666666666666664,0.041666666666666664,0.14285714285714285,0.03571428571428571,0.041666666666666664,0.11309523809523808,0.041666666666666664,0.0,0.041666666666666664,0.0,0.16233766233766234,0.0,0.041666666666666664,0.0
PORTIA_LORENZO,1.2768937678683172,0.014716981132075473,0.5303359517728465,0.009433962264150943,0.3005925618330565,0.7440918250379831,0.5547271189973279,1.6295217745698796,0.4392938146934298,0.1822012578616352,1.3758414955178193,0.4107149762878834,0.059903755171863735,1.1261315564098466,0.24790165873580502,0.1502764021451447,0.28767196197498734,0.0,0.3494970039314636,0.03,0.9672438141467855,0.15207078230166612,0.0819309600862999,0.77118595056344,0.8431199128275909,0.18334294660711029,0.027972795085563842,0.009433962264150943,0.07413445686023082,1.2739898512004935,0.0047169811320754715,0.029142700128228616,0.4246488570391087,0.07664794121837537,0.16963946175223052,0.0,0.08862545874891828,0.009433962264150943,0.12988026445069858,0.0,0.0,1.2898810383534876,1.4634088466743438,0.11458333333333333,0.10565432803520536,1.5774863297013735,5.790134613331051,0.03768153294964151,0.2753443404509917,0.27577715698845945,0.10345873786407767,0.0,0.7580505995284285,0.26072460326486546,0.14135968126030407,0.446800266539432,0.0816357503441155,0.019142700128228614,0.19022511033687148,0.09698275862068965,0.5537354893556314,0.0,0.07193396226415094,0.024150943396226414
PRINCE OF MOROCCO_PORTIA,0.5243625175057285,0.006666666666666667,0.2105638809465482,0.0022222222222222222,0.224278070777852,0.14340197478224667,0.07916216343157305,0.7732829236397089,0.1182201688053679,0.06621632088693782,0.6148792440694875,0.03554322534454985,0.1537317296463118,0.4944644560988012,0.043454667856527796,0.13631052498179452,0.03929461376269887,0.0,0.184246721674026,0.017689477557027225,0.33659102202697344,0.006666666666666667,0.0044444444444444444,0.11115125233284871,0.25824793861592216,0.2159968875758349,0.0022222222222222222,0.009009009009009009,0.03678800118986113,0.5325990779688042,0.061607606211997984,0.08492735373107362,0.407270636276888,0.04635877773904962,0.21117975256002441,0.0022222222222222222,0.26091338834069266,0.03896607330170808,0.15397065264577853,0.023498817966903073,0.05003303430244391,0.4006035513727422,0.8024892258237705,0.0,0.0,0.7486405882835805,2.458686316540636,0.011231231231231232,0.05737158210842421,0.11281650071123756,0.12344612489262194,0.08583242074939826,0.27606870465906524,0.061264265533675144,0.20167362225882132,0.08707360594355099,0.07079205381749823,0.0990569989245486,0.11468468468468468,0.015467255334805004,0.32409956166317266,0.0,0.14709668628307343,0.033693693693693696
SOLANIO_GRATIANO,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0
ANTONIO_SOLANIO,0.8029197752602008,0.020202020202020204,0.20053012393437925,0.0,0.217829766765937,0.06788554235362745,0.3101010101010101,0.697708595580936,0.11502358949167461,0.024386724386724387,0.39867059654293696,0.2455026455026455,0.12286389733198244,0.43734303521537565,0.1751803751803752,0.04242424242424243,0.010101010101010102,0.0,0.07691197691197692,0.0,0.23168258061875083,0.3,0.0,0.13211548105165127,0.23650895991321522,0.09132664026281048,0.0,0.0,0.07936507936507936,0.5759192737916142,0.0425531914893617,0.020202020202020204,0.4483262206666462,0.10182780182780182,0.03448773448773449,0.0,0.13025493025493023,0.022222222222222223,0.010101010101010102,0.010101010101010102,0.0,0.7138528138528139,0.435258358662614,0.022222222222222223,0.0,1.0207495420261379,2.240122603952391,0.0,0.010101010101010102,0.10158730158730159,0.0,0.08217125663934174,0.10626938073746584,0.010101010101010102,0.03232323232323232,0.11221741221741222,0.1212121212121212,0.16713231606848628,0.14181633968868013,0.022222222222222223,0.12473979920788432,0.0,0.10439347886156396,0.0
JESSICA_SALERIO,0.21748400852878463,0.014925373134328358,0.014925373134328358,0.0,0.047619047619047616,0.014925373134328358,0.07746979388770434,0.33972992181947403,0.047619047619047616,0.029850746268656716,0.04477611940298507,0.047619047619047616,0.0,0.10732054015636106,0.014925373134328358,0.06254442075337598,0.0,0.0,0.07462686567164178,0.0,0.23240938166311298,0.014925373134328358,0.0,0.06254442075337598,0.06254442075337598,0.029850746268656716,0.0,0.0,0.04477611940298507,0.21748400852878463,0.014925373134328358,0.06254442075337598,0.11016346837242359,0.0,0.0,0.0,0.014925373134328358,0.0,0.029850746268656716,0.0,0.0,0.15209665955934612,0.2594171997157072,0.0,0.0,0.26510305614783225,0.7242359630419332,0.014925373134328358,0.047619047619047616,0.06254442075337598,0.0,0.0,0.029850746268656716,0.0,0.07746979388770434,0.014925373134328358,0.08955223880597014,0.029850746268656716,0.014925373134328358,0.0,0.04477611940298507,0.0,0.0,0.0
