speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
KING_BEROWNE,1782,125.0,16.0,58.0,3.0,59.0,47.0,41.0,150.0,34.0,19.0,130.0,38.0,16.0,158.0,11.0,33.0,23.0,0.0,44.0,9.0,100.0,15.0,10.0,72.0,104.0,30.0,4.0,4.0,22.0,76.0,21.0,19.0,25.0,11.0,19.0,1.0,26.0,13.0,20.0,1.0,2.0,158.0,163.0,5.0,4.0,184.0,648.0,4.0,18.0,23.0,7.0,5.0,55.0,10.0,45.0,46.0,37.0,10.0,23.0,2.0,59.0,5.0,31.0,13.0
NATHANIEL_HOLOFERNES,571,36.0,2.0,10.0,2.0,20.0,9.0,16.0,52.0,5.0,5.0,20.0,18.0,4.0,54.0,9.0,16.0,3.0,0.0,15.0,6.0,40.0,4.0,3.0,36.0,45.0,16.0,0.0,1.0,10.0,29.0,1.0,6.0,7.0,11.0,8.0,5.0,1.0,1.0,5.0,0.0,0.0,50.0,65.0,3.0,4.0,56.0,223.0,3.0,7.0,15.0,5.0,1.0,29.0,5.0,9.0,16.0,8.0,2.0,14.0,2.0,22.0,2.0,9.0,3.0
BOYET_KATHARINE,212,14.0,0.0,5.0,0.0,8.0,4.0,12.0,21.0,2.0,0.0,9.0,2.0,1.0,19.0,0.0,13.0,1.0,0.0,3.0,0.0,15.0,3.0,4.0,4.0,8.0,5.0,0.0,0.0,5.0,9.0,0.0,9.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,18.0,20.0,0.0,0.0,22.0,78.0,2.0,2.0,6.0,0.0,0.0,7.0,4.0,4.0,7.0,4.0,0.0,4.0,2.0,7.0,0.0,3.0,1.0
DUMAIN_BEROWNE,450,23.0,3.0,8.0,1.0,14.0,8.0,7.0,35.0,14.0,5.0,22.0,4.0,5.0,31.0,4.0,15.0,0.0,0.0,8.0,0.0,22.0,0.0,0.0,18.0,29.0,5.0,2.0,1.0,3.0,20.0,0.0,8.0,11.0,3.0,6.0,0.0,7.0,6.0,3.0,0.0,2.0,26.0,45.0,2.0,1.0,37.0,142.0,1.0,6.0,4.0,4.0,0.0,17.0,5.0,10.0,9.0,9.0,1.0,5.0,4.0,14.0,2.0,11.0,3.0
BEROWNE_MARCADE,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUMAIN_KING,259,13.0,2.0,5.0,1.0,8.0,6.0,5.0,27.0,8.0,5.0,14.0,0.0,0.0,17.0,2.0,8.0,1.0,0.0,7.0,0.0,17.0,0.0,0.0,11.0,20.0,3.0,3.0,1.0,3.0,15.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,1.0,16.0,30.0,1.0,0.0,21.0,87.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,7.0,9.0,6.0,1.0,4.0,4.0,11.0,0.0,9.0,2.0
BEROWNE_DULL,29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
KATHARINE_PRINCESS OF FRANCE,236,14.0,0.0,9.0,0.0,8.0,6.0,4.0,15.0,6.0,0.0,18.0,3.0,3.0,18.0,2.0,7.0,0.0,0.0,6.0,2.0,7.0,1.0,1.0,16.0,18.0,3.0,0.0,1.0,7.0,7.0,3.0,2.0,7.0,4.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,13.0,15.0,1.0,0.0,22.0,77.0,1.0,2.0,1.0,0.0,1.0,7.0,2.0,0.0,6.0,6.0,1.0,5.0,2.0,8.0,0.0,2.0,3.0
BEROWNE_PRINCESS OF FRANCE,944,63.0,5.0,38.0,3.0,30.0,25.0,36.0,72.0,13.0,5.0,76.0,21.0,8.0,85.0,10.0,29.0,17.0,0.0,29.0,11.0,42.0,4.0,2.0,39.0,61.0,10.0,0.0,1.0,5.0,52.0,10.0,18.0,21.0,4.0,8.0,0.0,15.0,7.0,7.0,0.0,5.0,58.0,78.0,2.0,0.0,93.0,318.0,6.0,13.0,7.0,7.0,5.0,34.0,17.0,9.0,12.0,3.0,4.0,12.0,5.0,25.0,2.0,22.0,6.0
BOYET_MARIA,465,43.0,0.0,16.0,2.0,13.0,12.0,27.0,53.0,12.0,3.0,28.0,8.0,4.0,44.0,0.0,18.0,0.0,0.0,14.0,0.0,37.0,5.0,10.0,15.0,22.0,8.0,0.0,0.0,11.0,25.0,2.0,16.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,0.0,53.0,45.0,0.0,0.0,56.0,189.0,6.0,7.0,8.0,4.0,2.0,10.0,13.0,9.0,11.0,18.0,3.0,6.0,1.0,22.0,2.0,6.0,1.0
