speaker_listener,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
TIMON_HORTENSIUS,1.0532182103610674,0.02040816326530612,0.547331240188383,0.0,0.12414965986394558,0.04081632653061224,0.0,0.17896389324960754,0.02040816326530612,0.02040816326530612,0.6650706436420722,0.24358974358974358,0.0,0.7139979068550497,0.0,0.3870748299319728,0.0,0.0,0.4639979068550497,0.02040816326530612,0.10204081632653061,0.0,0.0,0.02040816326530612,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.1381475667189953,0.08333333333333333,0.3870748299319728,0.8096284667713239,0.08333333333333333,0.0,0.0,0.07692307692307693,0.02040816326530612,0.0,0.0,0.0,0.2639979068550497,0.5456305599162742,0.0,0.0,1.1773678702250132,2.4992935635792777,0.0,0.061224489795918366,0.0,0.0,0.0,0.1806645735217164,0.0,0.02040816326530612,0.04081632653061224,0.0,0.10374149659863945,0.0,0.0,0.1806645735217164,0.0,0.02040816326530612,0.0
ATTENDANTS_TIMON,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.5833333333333333,0.0,0.0,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0
BANDITTI_FIRST BANDIT,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.25,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.08333333333333333,0.5,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
APEMANTUS_MERCHANT,0.5859903381642513,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.2545893719806763,0.0,0.1,0.043478260869565216,0.5859903381642513,0.0,0.09903381642512077,0.05555555555555555,0.0,0.0,0.0,0.14347826086956522,0.043478260869565216,0.2545893719806763,0.0,0.0,0.13043478260869565,0.1859903381642512,0.25555555555555554,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.5859903381642513,0.3990338164251208,0.0,0.0,0.6294685990338165,1.648792270531401,0.0,0.0,0.0,0.0,0.0,0.2111111111111111,0.0,0.1,0.0,0.0,0.05555555555555555,0.2111111111111111,0.0,0.24347826086956523,0.0,0.05555555555555555,0.0
PHRYNIA AND TIMANDRA_TIMON,0.22916666666666666,0.0,0.0,0.0,0.125,0.0625,0.0,0.125,0.3402777777777778,0.0,0.0625,0.08333333333333333,0.0,0.1736111111111111,0.0,0.0,0.14583333333333331,0.0,0.1111111111111111,0.0,0.125,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.1111111111111111,0.14583333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.3402777777777778,0.2569444444444444,0.0,0.0,0.35416666666666663,0.9930555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.1111111111111111,0.0,0.0,0.0625,0.0,0.0,0.0
FLAVIUS_FIRST SENATOR,0.4720555138784696,0.0,0.24944629014396452,0.03225806451612903,0.06451612903225806,0.11559139784946236,0.08777194298574643,0.2588772193048262,0.023255813953488372,0.03225806451612903,0.36503768799342695,0.13884721180295073,0.08333333333333333,0.33265459221948346,0.0,0.0,0.0,0.0,0.1342835708927232,0.0,0.22661915478869715,0.0555138784696174,0.046511627906976744,0.08777194298574643,0.26288715035901833,0.17511520737327188,0.0,0.0555138784696174,0.0,0.12003000750187547,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.6475993998499625,0.5315793234022791,0.0,0.0,0.5365716429107277,1.6506805272746758,0.0,0.0,0.08333333333333333,0.03225806451612903,0.0,0.0,0.03225806451612903,0.11559139784946236,0.17110527631907976,0.31895473868467117,0.0,0.2584485407066052,0.0,0.1110277569392348,0.0,0.17511520737327188,0.0
FIRST LORD_ALCIBIADES,0.2222222222222222,0.16666666666666666,0.0,0.0,0.05555555555555555,0.3055555555555556,0.0,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.3055555555555556,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.16666666666666666,0.0,0.08333333333333333,0.0,0.2777777777777778,0.0,0.0,0.2222222222222222,0.2222222222222222,0.027777777777777776,0.0,0.0,0.0,0.25,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.2222222222222222,0.5,0.0,0.0,0.2777777777777778,0.9166666666666667,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.0,0.08333333333333333,0.19444444444444442,0.0,0.0,0.0,0.0,0.19444444444444442,0.0,0.0,0.0
LUCIUS_FIRST STRANGER,0.2383957922419461,0.03333333333333333,0.04516765285996055,0.0,0.13550295857988165,0.10808678500986194,0.07850098619329389,0.6561472715318869,0.023668639053254437,0.0903353057199211,0.1591715976331361,0.07258382642998028,0.01775147928994083,0.23984220907297832,0.005917159763313609,0.0,0.0,0.0,0.1007232084155161,0.0,0.4050624589086127,0.04516765285996055,0.0,0.2650887573964497,0.2710059171597633,0.08441814595660749,0.0,0.05555555555555555,0.05108481262327416,0.5028928336620644,0.039250493096646945,0.0,0.14214332675871136,0.0,0.05108481262327416,0.0,0.005917159763313609,0.005917159763313609,0.09105851413543721,0.0,0.0,0.3821170282708744,0.4658119658119658,0.0,0.0,0.3738987508218278,1.5400394477317554,0.0,0.03333333333333333,0.06666666666666667,0.06738987508218278,0.0,0.20361604207758052,0.03333333333333333,0.09625246548323471,0.0851413543721236,0.12366863905325443,0.07850098619329389,0.22366863905325446,0.0,0.13030900723208416,0.0,0.005917159763313609,0.0
OLD ATHENIAN_TIMON,0.8636216694569099,0.03489702517162471,0.3719146350725298,0.0,0.1840797646289637,0.5268601345260384,0.2988721804511278,0.7077365680340508,0.21166470193930148,0.047619047619047616,0.8987747695985683,0.13489702517162472,0.0,0.7084550968990329,0.07982456140350877,0.06871345029239766,0.05555555555555555,0.0,0.06871345029239766,0.0,0.5254057409663817,0.2988721804511278,0.0,0.3478430925799347,0.4044619123566492,0.047619047619047616,0.03489702517162471,0.021739130434782608,0.04805491990846682,0.44306054992553845,0.043478260869565216,0.0,0.37897906822391947,0.05555555555555555,0.013157894736842105,0.0,0.0,0.0,0.149182739457339,0.0,0.0,1.2354687773452073,0.3635216169541112,0.0,0.07393483709273183,1.0477014340858735,3.2041432632965816,0.0,0.16883116883116883,0.030303030303030304,0.13489702517162472,0.030303030303030304,0.5162085054533567,0.0,0.13869902027796766,0.03489702517162471,0.34180906812485756,0.06520005547465502,0.06077694235588972,0.0,0.05555555555555555,0.0,0.05661881977671451,0.06871345029239766
MERCHANT_JEWELLER,0.18218623481781376,0.0,0.09090909090909091,0.0,0.047619047619047616,0.10025062656641603,0.15789473684210525,0.12454212454212454,0.441159717475507,0.0,0.23877876509455456,0.0,0.0,0.19115971747550695,0.2724117987275882,0.10025062656641603,0.07692307692307693,0.0,0.10025062656641603,0.0,0.047619047619047616,0.10526315789473684,0.0,0.19115971747550695,0.19115971747550695,0.0,0.0,0.0,0.047619047619047616,0.07692307692307693,0.0,0.10025062656641603,0.05263157894736842,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.46462309620204356,0.20050125313283207,0.0,0.0,0.22980528243686138,1.4592118407907881,0.0,0.05263157894736842,0.0,0.17717370348949296,0.0,0.5018490281648176,0.0,0.0,0.0,0.10526315789473684,0.0,0.25,0.0,0.09523809523809523,0.0,0.0,0.0
