speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
PAGE_ANNE,78,8.0,0.0,1.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,6.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,2.0,9.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
QUICKLY_ROBIN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLENDER_HOST,16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMPLE_PAGE,23,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANNE_MRS PAGE,41,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
FENTON_MRS PAGE,196,15.0,1.0,2.0,0.0,6.0,5.0,4.0,22.0,2.0,3.0,9.0,4.0,2.0,11.0,2.0,4.0,1.0,0.0,4.0,0.0,15.0,2.0,0.0,11.0,16.0,3.0,0.0,0.0,3.0,13.0,2.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,16.0,20.0,0.0,2.0,21.0,68.0,0.0,6.0,0.0,0.0,1.0,4.0,1.0,5.0,4.0,6.0,1.0,4.0,1.0,7.0,2.0,5.0,3.0
EVANS_WILLIAM,264,10.0,1.0,3.0,0.0,4.0,1.0,0.0,21.0,2.0,4.0,7.0,9.0,1.0,8.0,4.0,3.0,0.0,0.0,4.0,3.0,19.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,14.0,57.0,0.0,1.0,4.0,1.0,0.0,6.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,7.0,1.0,4.0,0.0
QUICKLY_FALSTAFF,1052,100.0,0.0,29.0,0.0,31.0,27.0,23.0,117.0,25.0,16.0,80.0,35.0,6.0,78.0,21.0,18.0,1.0,0.0,51.0,5.0,74.0,10.0,14.0,46.0,56.0,13.0,4.0,0.0,13.0,73.0,18.0,10.0,10.0,6.0,15.0,2.0,24.0,4.0,10.0,0.0,0.0,142.0,128.0,2.0,9.0,131.0,456.0,1.0,24.0,8.0,17.0,4.0,47.0,9.0,22.0,32.0,41.0,1.0,14.0,5.0,64.0,1.0,10.0,2.0
PAGE_MRS FORD,144,10.0,0.0,9.0,0.0,6.0,3.0,1.0,18.0,3.0,1.0,19.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,0.0,1.0,2.0,5.0,4.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,0.0,16.0,53.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,4.0,4.0,7.0,0.0,6.0,0.0,3.0,2.0,3.0,0.0
FALSTAFF_FORD,1498,119.0,3.0,53.0,7.0,41.0,51.0,30.0,145.0,14.0,7.0,126.0,29.0,18.0,171.0,2.0,27.0,4.0,0.0,55.0,2.0,98.0,7.0,12.0,32.0,63.0,15.0,6.0,2.0,30.0,59.0,14.0,19.0,34.0,5.0,10.0,1.0,27.0,14.0,13.0,1.0,2.0,137.0,126.0,2.0,11.0,160.0,605.0,9.0,5.0,17.0,13.0,2.0,77.0,4.0,39.0,23.0,43.0,8.0,11.0,4.0,59.0,6.0,31.0,4.0
