"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"MRS FORD_FAIRY QUEEN",31,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"EVANS_WILLIAM",266,10.0,1.0,3.0,0.0,3.0,1.0,0.0,21.0,2.0,4.0,8.0,9.0,1.0,8.0,4.0,3.0,0.0,0.0,4.0,3.0,19.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,13.0,58.0,0.0,1.0,4.0,2.0,0.0,7.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,7.0,1.0,4.0,0.0
"QUICKLY_FALSTAFF",984,86.0,0.0,26.0,1.0,29.0,25.0,21.0,104.0,25.0,14.0,72.0,30.0,5.0,66.0,18.0,17.0,0.0,0.0,47.0,5.0,69.0,10.0,13.0,41.0,50.0,11.0,4.0,0.0,13.0,63.0,17.0,9.0,10.0,5.0,14.0,2.0,21.0,3.0,9.0,0.0,0.0,124.0,118.0,2.0,8.0,115.0,405.0,1.0,23.0,7.0,15.0,4.0,39.0,7.0,19.0,27.0,34.0,1.0,11.0,5.0,60.0,1.0,9.0,1.0
"PAGE_MRS FORD",570,47.0,0.0,28.0,0.0,19.0,17.0,4.0,58.0,8.0,6.0,64.0,16.0,5.0,44.0,2.0,11.0,10.0,0.0,16.0,4.0,32.0,0.0,1.0,16.0,24.0,13.0,2.0,1.0,5.0,32.0,1.0,4.0,7.0,1.0,4.0,7.0,20.0,2.0,0.0,1.0,0.0,68.0,51.0,2.0,6.0,66.0,200.0,2.0,3.0,5.0,8.0,0.0,12.0,2.0,14.0,17.0,14.0,3.0,16.0,2.0,17.0,2.0,8.0,1.0
"FORD_THE SONG",217,13.0,0.0,4.0,0.0,7.0,4.0,1.0,24.0,1.0,1.0,9.0,4.0,0.0,16.0,1.0,1.0,1.0,0.0,6.0,1.0,16.0,1.0,1.0,5.0,7.0,2.0,0.0,0.0,5.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21.0,11.0,0.0,3.0,20.0,82.0,0.0,2.0,1.0,2.0,0.0,12.0,0.0,4.0,5.0,7.0,7.0,4.0,0.0,11.0,0.0,2.0,1.0
"SLENDER_THE SONG",158,9.0,0.0,4.0,0.0,4.0,3.0,1.0,28.0,1.0,6.0,9.0,1.0,1.0,10.0,1.0,2.0,0.0,0.0,7.0,0.0,21.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,14.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,16.0,22.0,0.0,2.0,13.0,64.0,0.0,1.0,2.0,6.0,1.0,6.0,1.0,7.0,2.0,6.0,0.0,4.0,0.0,11.0,0.0,1.0,2.0
"FALSTAFF_FORD",1225,92.0,3.0,36.0,4.0,30.0,36.0,24.0,114.0,10.0,6.0,89.0,25.0,16.0,128.0,1.0,23.0,3.0,0.0,43.0,2.0,79.0,7.0,9.0,28.0,46.0,10.0,4.0,1.0,24.0,45.0,13.0,17.0,29.0,3.0,9.0,1.0,20.0,8.0,10.0,1.0,1.0,101.0,100.0,2.0,7.0,122.0,469.0,7.0,3.0,14.0,9.0,1.0,58.0,2.0,31.0,20.0,28.0,5.0,8.0,3.0,48.0,4.0,18.0,3.0
"FIRST SERVANT_SECOND SERVANT",31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
"QUICKLY_PISTOL",739,60.0,0.0,23.0,1.0,18.0,21.0,14.0,76.0,23.0,10.0,58.0,19.0,4.0,49.0,15.0,13.0,0.0,0.0,37.0,4.0,51.0,7.0,9.0,34.0,39.0,9.0,4.0,0.0,12.0,43.0,11.0,5.0,7.0,5.0,13.0,2.0,14.0,3.0,9.0,0.0,0.0,88.0,99.0,1.0,7.0,78.0,308.0,1.0,22.0,7.0,10.0,1.0,33.0,3.0,13.0,21.0,26.0,1.0,8.0,5.0,52.0,1.0,5.0,1.0
"FALSTAFF_SLENDER",175,13.0,0.0,4.0,0.0,8.0,2.0,3.0,15.0,3.0,1.0,8.0,8.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,8.0,10.0,2.0,0.0,0.0,3.0,8.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,15.0,13.0,0.0,1.0,21.0,52.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0
