"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"ANTIPHOLUS OF EPHESUS_ABBESS",67,4.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,9.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"ABBESS_ADRIANA",587,52.0,4.0,22.0,0.0,19.0,14.0,16.0,50.0,16.0,4.0,51.0,13.0,6.0,57.0,3.0,17.0,4.0,0.0,23.0,3.0,26.0,7.0,5.0,11.0,36.0,15.0,1.0,1.0,14.0,29.0,4.0,6.0,12.0,3.0,6.0,3.0,14.0,8.0,4.0,0.0,1.0,70.0,56.0,0.0,7.0,71.0,237.0,4.0,3.0,3.0,8.0,8.0,26.0,4.0,6.0,6.0,22.0,4.0,8.0,8.0,26.0,1.0,25.0,1.0
"ANTIPHOLUS OF EPHESUS_OFFICER",840,90.0,2.0,33.0,1.0,29.0,24.0,11.0,74.0,13.0,8.0,77.0,47.0,7.0,79.0,1.0,10.0,1.0,0.0,30.0,7.0,45.0,5.0,0.0,12.0,29.0,17.0,12.0,2.0,14.0,40.0,2.0,6.0,32.0,6.0,6.0,2.0,19.0,9.0,2.0,2.0,1.0,84.0,72.0,1.0,5.0,119.0,335.0,3.0,3.0,5.0,4.0,2.0,33.0,3.0,17.0,11.0,10.0,11.0,21.0,0.0,26.0,2.0,16.0,3.0
"ANTIPHOLUS OF SYRACUSE_FIRST MERCHANT",132,12.0,1.0,9.0,0.0,5.0,9.0,3.0,11.0,0.0,0.0,24.0,3.0,0.0,18.0,0.0,4.0,1.0,0.0,12.0,3.0,7.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,6.0,13.0,0.0,0.0,17.0,59.0,0.0,0.0,0.0,1.0,3.0,7.0,3.0,4.0,4.0,1.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0
"ADRIANA_ANGELO",701,86.0,5.0,20.0,1.0,27.0,18.0,7.0,64.0,11.0,1.0,56.0,7.0,7.0,64.0,4.0,11.0,12.0,0.0,29.0,0.0,38.0,1.0,5.0,11.0,29.0,12.0,10.0,0.0,26.0,26.0,3.0,3.0,30.0,4.0,9.0,3.0,18.0,8.0,5.0,0.0,0.0,92.0,69.0,0.0,13.0,113.0,290.0,2.0,5.0,3.0,7.0,5.0,17.0,3.0,8.0,16.0,42.0,2.0,11.0,4.0,24.0,1.0,18.0,3.0
"AEGEON_SECOND MERCHANT",278,39.0,1.0,11.0,0.0,6.0,12.0,12.0,20.0,4.0,0.0,24.0,12.0,4.0,18.0,0.0,7.0,1.0,0.0,6.0,4.0,8.0,6.0,0.0,7.0,15.0,6.0,0.0,1.0,2.0,15.0,2.0,5.0,25.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,25.0,32.0,1.0,3.0,45.0,101.0,1.0,3.0,6.0,2.0,4.0,7.0,4.0,2.0,8.0,1.0,2.0,7.0,2.0,5.0,2.0,8.0,0.0
"MESSENGER_ADRIANA",148,14.0,1.0,4.0,1.0,2.0,3.0,5.0,12.0,2.0,1.0,10.0,5.0,1.0,14.0,1.0,5.0,0.0,0.0,9.0,0.0,7.0,1.0,4.0,3.0,7.0,3.0,1.0,0.0,3.0,7.0,0.0,3.0,1.0,1.0,3.0,0.0,4.0,1.0,2.0,0.0,1.0,20.0,20.0,0.0,0.0,16.0,55.0,3.0,3.0,0.0,2.0,2.0,7.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0,9.0,0.0,4.0,0.0
"DROMIO OF EPHESUS_PINCH",171,15.0,1.0,5.0,1.0,1.0,3.0,2.0,12.0,0.0,0.0,9.0,8.0,2.0,13.0,3.0,2.0,1.0,0.0,6.0,0.0,10.0,1.0,0.0,5.0,9.0,3.0,3.0,0.0,8.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,18.0,16.0,0.0,0.0,16.0,57.0,1.0,1.0,2.0,1.0,1.0,7.0,0.0,1.0,2.0,4.0,1.0,5.0,0.0,4.0,0.0,4.0,0.0
"ANGELO_ADRIANA",137,13.0,1.0,10.0,0.0,5.0,2.0,1.0,17.0,4.0,1.0,14.0,2.0,3.0,9.0,2.0,1.0,2.0,0.0,7.0,0.0,12.0,0.0,2.0,4.0,4.0,5.0,1.0,0.0,8.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,20.0,22.0,0.0,0.0,18.0,54.0,0.0,2.0,2.0,5.0,0.0,3.0,1.0,3.0,3.0,7.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0
"ANGELO_ABBESS",35,3.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,5.0,14.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"DROMIO OF SYRACUSE_ADRIANA",513,32.0,1.0,25.0,0.0,14.0,21.0,10.0,44.0,7.0,2.0,56.0,4.0,3.0,37.0,5.0,6.0,4.0,1.0,18.0,2.0,28.0,4.0,1.0,5.0,16.0,10.0,2.0,2.0,5.0,33.0,3.0,5.0,9.0,2.0,6.0,0.0,10.0,5.0,5.0,4.0,0.0,41.0,49.0,3.0,0.0,46.0,185.0,3.0,6.0,6.0,2.0,1.0,28.0,3.0,3.0,11.0,17.0,4.0,12.0,1.0,20.0,0.0,11.0,1.0
