"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"VIRGILIA_COMINIUS",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SICINIUS_SECOND SENATOR",387,27.0,3.0,17.0,1.0,10.0,11.0,3.0,38.0,6.0,7.0,32.0,12.0,5.0,31.0,1.0,6.0,5.0,0.0,8.0,2.0,32.0,1.0,0.0,6.0,13.0,7.0,1.0,0.0,3.0,20.0,3.0,2.0,1.0,3.0,3.0,1.0,5.0,6.0,4.0,0.0,3.0,41.0,37.0,0.0,0.0,37.0,151.0,1.0,8.0,1.0,8.0,1.0,20.0,0.0,12.0,7.0,12.0,0.0,5.0,3.0,15.0,0.0,7.0,0.0
"VOLUMNIA_MARCIUS",2079,196.0,17.0,82.0,4.0,55.0,50.0,38.0,168.0,45.0,31.0,151.0,85.0,27.0,195.0,9.0,46.0,37.0,0.0,76.0,11.0,121.0,19.0,15.0,72.0,114.0,50.0,3.0,5.0,38.0,79.0,11.0,36.0,25.0,18.0,23.0,0.0,22.0,19.0,40.0,2.0,7.0,289.0,248.0,1.0,31.0,251.0,837.0,7.0,22.0,21.0,25.0,10.0,71.0,10.0,38.0,45.0,44.0,12.0,38.0,6.0,88.0,7.0,42.0,7.0
"PLEBEIANS_BOTH TRIBUNES",62,3.0,0.0,1.0,0.0,3.0,0.0,1.0,14.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0
"PLEBEIANS_COMINIUS",116,6.0,1.0,3.0,0.0,3.0,0.0,4.0,17.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,5.0,2.0,14.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,9.0,41.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,5.0,0.0,4.0,0.0,7.0,1.0,2.0,0.0
"MESSENGER_COMINIUS",138,10.0,0.0,3.0,1.0,1.0,5.0,9.0,17.0,1.0,0.0,11.0,0.0,1.0,17.0,1.0,1.0,1.0,0.0,8.0,1.0,7.0,4.0,3.0,2.0,4.0,1.0,2.0,0.0,10.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,15.0,11.0,0.0,0.0,11.0,54.0,0.0,1.0,0.0,3.0,0.0,8.0,5.0,1.0,1.0,4.0,0.0,1.0,1.0,9.0,0.0,2.0,0.0
"ALL_MARCIUS",52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
"ALL_SECOND SOLDIER",30,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"BRUTUS_BOTH CITIZENS",423,36.0,2.0,15.0,0.0,9.0,14.0,4.0,40.0,4.0,3.0,36.0,16.0,3.0,43.0,2.0,10.0,6.0,0.0,12.0,0.0,28.0,3.0,4.0,14.0,24.0,5.0,2.0,2.0,18.0,15.0,0.0,5.0,0.0,3.0,3.0,1.0,5.0,7.0,8.0,0.0,0.0,59.0,33.0,0.0,2.0,45.0,160.0,0.0,1.0,4.0,3.0,0.0,12.0,0.0,5.0,10.0,20.0,1.0,6.0,1.0,18.0,1.0,10.0,3.0
"SECOND SENATOR_PATRICIANS",10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"SENATORS_SECOND OFFICER",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"COMINIUS_PATRICIANS",89,3.0,0.0,4.0,0.0,3.0,4.0,1.0,5.0,1.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,7.0,9.0,0.0,0.0,6.0,30.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
"SECOND SOLDIER_LARTIUS",28,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BRUTUS_VALERIA",323,29.0,2.0,10.0,1.0,9.0,6.0,13.0,20.0,3.0,6.0,22.0,0.0,3.0,27.0,2.0,14.0,5.0,0.0,9.0,2.0,9.0,4.0,8.0,9.0,15.0,3.0,2.0,0.0,5.0,10.0,0.0,9.0,0.0,5.0,4.0,1.0,6.0,3.0,8.0,0.0,2.0,45.0,29.0,0.0,0.0,38.0,111.0,1.0,4.0,1.0,5.0,1.0,19.0,6.0,5.0,2.0,20.0,1.0,4.0,3.0,13.0,0.0,6.0,1.0
"SECOND LORD_LORDS",68,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,10.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0
"FIRST SOLDIER_LARTIUS",50,5.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,6.0,19.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"MARCIUS_VALERIA",189,16.0,0.0,4.0,0.0,4.0,4.0,5.0,13.0,5.0,3.0,12.0,3.0,1.0,9.0,0.0,5.0,1.0,0.0,5.0,0.0,10.0,1.0,4.0,8.0,10.0,2.0,2.0,0.0,2.0,8.0,0.0,5.0,7.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,18.0,14.0,0.0,5.0,20.0,56.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
"SECOND CITIZEN_BOTH TRIBUNES",16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"AUFIDIUS_SECOND SENATOR",231,11.0,3.0,10.0,0.0,12.0,6.0,2.0,31.0,4.0,3.0,20.0,4.0,1.0,19.0,1.0,1.0,5.0,1.0,5.0,1.0,21.0,2.0,2.0,7.0,11.0,6.0,0.0,0.0,7.0,18.0,3.0,1.0,0.0,1.0,6.0,0.0,4.0,2.0,5.0,0.0,0.0,18.0,30.0,0.0,0.0,23.0,90.0,0.0,4.0,4.0,1.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0
"FIRST SENATOR_FIRST PATRICIAN",19,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"THIRD ROMAN_FIRST ROMAN",11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VOLUMNIA_GENTLEWOMAN",185,18.0,0.0,5.0,0.0,2.0,4.0,6.0,18.0,2.0,1.0,10.0,5.0,2.0,12.0,1.0,7.0,0.0,0.0,2.0,2.0,12.0,2.0,0.0,2.0,7.0,5.0,0.0,0.0,5.0,9.0,0.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,28.0,11.0,0.0,2.0,20.0,61.0,2.0,1.0,1.0,3.0,2.0,6.0,2.0,4.0,2.0,14.0,0.0,2.0,1.0,7.0,1.0,4.0,1.0
"MARCIUS_FIRST CITIZEN",1088,79.0,4.0,27.0,2.0,41.0,16.0,24.0,110.0,25.0,21.0,64.0,23.0,15.0,73.0,4.0,21.0,4.0,0.0,25.0,4.0,75.0,17.0,24.0,33.0,53.0,7.0,2.0,0.0,17.0,56.0,17.0,8.0,22.0,5.0,10.0,6.0,18.0,11.0,13.0,0.0,2.0,93.0,95.0,1.0,0.0,120.0,393.0,3.0,8.0,11.0,10.0,3.0,40.0,3.0,27.0,17.0,8.0,7.0,10.0,7.0,25.0,0.0,20.0,1.0
"MENENIUS_MESSENGER",335,16.0,1.0,13.0,1.0,4.0,6.0,8.0,38.0,6.0,3.0,24.0,7.0,6.0,21.0,2.0,5.0,2.0,0.0,9.0,0.0,27.0,3.0,1.0,5.0,10.0,5.0,1.0,0.0,11.0,20.0,3.0,4.0,2.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,23.0,38.0,1.0,0.0,20.0,107.0,2.0,5.0,1.0,3.0,1.0,13.0,0.0,5.0,5.0,7.0,2.0,6.0,0.0,11.0,2.0,5.0,0.0
"BRUTUS_FIFTH CITIZEN",423,36.0,2.0,15.0,0.0,9.0,14.0,4.0,40.0,4.0,3.0,36.0,16.0,3.0,43.0,2.0,10.0,6.0,0.0,12.0,0.0,28.0,3.0,4.0,14.0,24.0,5.0,2.0,2.0,18.0,15.0,0.0,5.0,0.0,3.0,3.0,1.0,5.0,7.0,8.0,0.0,0.0,59.0,33.0,0.0,2.0,45.0,160.0,0.0,1.0,4.0,3.0,0.0,12.0,0.0,5.0,10.0,20.0,1.0,6.0,1.0,18.0,1.0,10.0,3.0
"MARCIUS_LORDS",266,20.0,1.0,8.0,1.0,6.0,7.0,1.0,16.0,8.0,0.0,18.0,3.0,5.0,19.0,3.0,2.0,2.0,0.0,8.0,0.0,11.0,0.0,0.0,6.0,11.0,2.0,1.0,0.0,6.0,9.0,3.0,1.0,9.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,2.0,13.0,18.0,0.0,0.0,26.0,88.0,1.0,2.0,0.0,1.0,2.0,9.0,0.0,1.0,4.0,6.0,0.0,1.0,1.0,7.0,1.0,5.0,0.0
"MARCIUS_FOURTH CITIZEN",355,18.0,0.0,8.0,0.0,15.0,5.0,13.0,41.0,12.0,9.0,17.0,3.0,4.0,29.0,0.0,4.0,2.0,0.0,12.0,0.0,33.0,11.0,5.0,11.0,16.0,3.0,0.0,0.0,6.0,16.0,7.0,1.0,8.0,3.0,7.0,1.0,2.0,2.0,4.0,0.0,1.0,18.0,35.0,0.0,0.0,33.0,143.0,0.0,2.0,2.0,3.0,1.0,13.0,1.0,14.0,7.0,0.0,2.0,2.0,1.0,10.0,0.0,5.0,1.0
