speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
FIRST LORD_SENATORS,55,3.0,2.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS_TIMON,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BANDITTI_FIRST BANDIT,24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
SERVILIUS_THIRD STRANGER,101,9.0,0.0,1.0,0.0,2.0,4.0,1.0,10.0,2.0,2.0,7.0,0.0,1.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,3.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,10.0,8.0,0.0,0.0,11.0,30.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
FLAVIUS_SERVILIUS,173,9.0,0.0,4.0,0.0,9.0,3.0,6.0,25.0,3.0,6.0,11.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,17.0,2.0,7.0,7.0,11.0,2.0,0.0,0.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,9.0,30.0,1.0,0.0,18.0,62.0,3.0,3.0,6.0,0.0,0.0,4.0,1.0,3.0,6.0,0.0,3.0,3.0,0.0,8.0,1.0,4.0,0.0
TIMON_FIRST SENATOR,588,56.0,4.0,18.0,0.0,17.0,21.0,11.0,42.0,8.0,3.0,48.0,7.0,4.0,46.0,2.0,16.0,4.0,0.0,19.0,1.0,23.0,3.0,12.0,15.0,31.0,11.0,0.0,1.0,5.0,24.0,1.0,6.0,22.0,2.0,3.0,0.0,9.0,5.0,4.0,0.0,7.0,51.0,50.0,0.0,0.0,73.0,206.0,3.0,3.0,5.0,5.0,5.0,18.0,2.0,9.0,10.0,12.0,0.0,9.0,6.0,20.0,2.0,16.0,4.0
SECOND LORD_VENTIDIUS,130,9.0,0.0,7.0,2.0,6.0,6.0,1.0,7.0,1.0,0.0,14.0,3.0,2.0,12.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,8.0,2.0,0.0,15.0,45.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0
APEMANTUS_CUPID,291,22.0,1.0,13.0,0.0,13.0,12.0,5.0,29.0,3.0,8.0,28.0,6.0,2.0,25.0,2.0,8.0,4.0,0.0,9.0,4.0,21.0,4.0,5.0,8.0,23.0,10.0,2.0,1.0,3.0,14.0,2.0,4.0,7.0,2.0,4.0,1.0,3.0,4.0,0.0,0.0,2.0,25.0,31.0,0.0,0.0,35.0,118.0,0.0,1.0,0.0,3.0,1.0,8.0,0.0,8.0,7.0,0.0,3.0,9.0,3.0,13.0,4.0,15.0,0.0
SERVANT_ALL,18,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
THIRD SENATOR_FIRST SENATOR,46,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0
