"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"KING JOHN_PEMBROKE",1473,147.0,12.0,52.0,2.0,36.0,42.0,33.0,132.0,21.0,16.0,115.0,50.0,19.0,148.0,6.0,51.0,13.0,0.0,52.0,6.0,86.0,10.0,10.0,38.0,72.0,22.0,5.0,3.0,25.0,71.0,6.0,37.0,50.0,6.0,14.0,1.0,16.0,16.0,19.0,5.0,13.0,160.0,150.0,3.0,26.0,183.0,587.0,11.0,14.0,14.0,1.0,2.0,48.0,9.0,23.0,29.0,30.0,3.0,20.0,11.0,64.0,10.0,34.0,2.0
"GURNEY_SALISBURY",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MELUN_PEMBROKE",318,18.0,0.0,11.0,0.0,11.0,13.0,8.0,22.0,8.0,9.0,26.0,3.0,4.0,37.0,6.0,15.0,1.0,0.0,17.0,0.0,14.0,3.0,0.0,9.0,13.0,5.0,1.0,0.0,3.0,10.0,1.0,7.0,10.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,14.0,41.0,0.0,0.0,29.0,134.0,1.0,6.0,5.0,0.0,1.0,21.0,4.0,7.0,9.0,5.0,2.0,1.0,5.0,17.0,0.0,4.0,2.0
"ELINOR_PANDULPH",20,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"HUBERT_EXECUTIONER",385,25.0,2.0,9.0,0.0,12.0,2.0,12.0,30.0,4.0,4.0,16.0,10.0,2.0,27.0,1.0,7.0,0.0,0.0,17.0,0.0,24.0,2.0,2.0,8.0,15.0,8.0,1.0,0.0,2.0,16.0,0.0,6.0,9.0,2.0,2.0,0.0,4.0,3.0,2.0,0.0,2.0,28.0,40.0,0.0,2.0,37.0,120.0,3.0,6.0,3.0,7.0,3.0,10.0,6.0,10.0,3.0,4.0,2.0,7.0,1.0,9.0,1.0,7.0,0.0
"HUBERT_PEMBROKE",482,36.0,1.0,21.0,0.0,11.0,12.0,24.0,31.0,6.0,2.0,41.0,8.0,5.0,49.0,10.0,20.0,0.0,1.0,18.0,0.0,21.0,10.0,5.0,14.0,34.0,8.0,1.0,0.0,12.0,15.0,5.0,14.0,11.0,0.0,1.0,1.0,6.0,11.0,2.0,1.0,4.0,43.0,43.0,2.0,0.0,47.0,179.0,7.0,5.0,3.0,3.0,2.0,21.0,4.0,3.0,10.0,14.0,1.0,9.0,5.0,17.0,4.0,20.0,0.0
"PRINCE HENRY_KING JOHN",87,4.0,1.0,3.0,0.0,7.0,3.0,0.0,14.0,1.0,4.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,15.0,0.0,0.0,11.0,42.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,4.0,8.0,2.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0
"BASTARD_CONSTANCE",275,12.0,2.0,9.0,0.0,10.0,7.0,10.0,21.0,3.0,1.0,23.0,6.0,2.0,23.0,3.0,14.0,1.0,0.0,5.0,2.0,13.0,1.0,1.0,7.0,13.0,3.0,3.0,0.0,1.0,9.0,0.0,12.0,3.0,0.0,4.0,1.0,6.0,2.0,2.0,3.0,1.0,13.0,16.0,0.0,0.0,22.0,91.0,6.0,1.0,1.0,1.0,1.0,19.0,2.0,10.0,4.0,2.0,0.0,3.0,0.0,8.0,1.0,6.0,3.0
"SALISBURY_CITIZEN",51,6.0,0.0,0.0,0.0,3.0,0.0,2.0,9.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,9.0,0.0,0.0,9.0,21.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
"SALISBURY_BASTARD",545,34.0,1.0,15.0,1.0,25.0,13.0,17.0,43.0,8.0,2.0,36.0,13.0,9.0,52.0,6.0,16.0,8.0,0.0,20.0,1.0,24.0,2.0,0.0,18.0,40.0,14.0,1.0,0.0,7.0,28.0,1.0,10.0,4.0,4.0,9.0,1.0,8.0,13.0,8.0,0.0,8.0,43.0,61.0,0.0,0.0,59.0,214.0,6.0,3.0,9.0,0.0,4.0,35.0,4.0,5.0,11.0,13.0,2.0,10.0,4.0,24.0,2.0,22.0,1.0
"BASTARD_HUBERT",515,42.0,1.0,22.0,0.0,20.0,12.0,11.0,41.0,11.0,6.0,48.0,25.0,0.0,44.0,7.0,10.0,0.0,0.0,10.0,5.0,30.0,4.0,3.0,7.0,27.0,14.0,0.0,1.0,4.0,23.0,3.0,6.0,10.0,2.0,8.0,2.0,14.0,10.0,2.0,4.0,7.0,52.0,37.0,0.0,0.0,62.0,204.0,1.0,2.0,5.0,5.0,3.0,27.0,5.0,10.0,11.0,6.0,0.0,4.0,2.0,27.0,3.0,20.0,1.0
"ARTHUR_SALISBURY",10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BLANCH_KING JOHN",358,35.0,3.0,14.0,1.0,17.0,8.0,12.0,52.0,6.0,10.0,24.0,14.0,3.0,32.0,5.0,11.0,2.0,0.0,10.0,1.0,32.0,5.0,2.0,14.0,20.0,6.0,0.0,0.0,4.0,29.0,0.0,7.0,12.0,1.0,4.0,0.0,3.0,3.0,8.0,1.0,2.0,41.0,40.0,1.0,5.0,52.0,146.0,1.0,3.0,4.0,1.0,3.0,8.0,5.0,14.0,7.0,8.0,2.0,7.0,1.0,5.0,0.0,6.0,3.0
"ROBERT_SALISBURY",185,20.0,0.0,8.0,0.0,9.0,8.0,4.0,20.0,4.0,1.0,19.0,0.0,2.0,18.0,0.0,1.0,0.0,0.0,7.0,0.0,15.0,3.0,0.0,6.0,7.0,2.0,1.0,0.0,11.0,5.0,2.0,0.0,13.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,29.0,15.0,0.0,12.0,29.0,86.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,3.0,2.0,11.0,0.0,3.0,0.0,9.0,1.0,1.0,1.0
"CITIZEN_KING PHILIP",475,38.0,8.0,26.0,0.0,20.0,14.0,7.0,40.0,9.0,8.0,46.0,6.0,2.0,53.0,2.0,11.0,18.0,0.0,17.0,1.0,25.0,3.0,3.0,22.0,28.0,16.0,4.0,1.0,1.0,26.0,8.0,4.0,1.0,2.0,3.0,0.0,5.0,4.0,10.0,0.0,2.0,51.0,67.0,0.0,2.0,58.0,204.0,1.0,11.0,7.0,1.0,0.0,18.0,3.0,9.0,10.0,15.0,3.0,13.0,3.0,18.0,2.0,6.0,4.0
"BLANCH_CITIZEN",341,35.0,3.0,14.0,1.0,15.0,8.0,12.0,49.0,6.0,10.0,24.0,14.0,3.0,31.0,5.0,11.0,2.0,0.0,10.0,1.0,29.0,5.0,2.0,13.0,19.0,6.0,0.0,0.0,2.0,28.0,0.0,7.0,12.0,1.0,4.0,0.0,3.0,3.0,8.0,1.0,2.0,40.0,39.0,0.0,5.0,50.0,138.0,1.0,3.0,3.0,1.0,3.0,7.0,5.0,14.0,6.0,7.0,2.0,7.0,1.0,5.0,0.0,6.0,3.0
"CONSTANCE_KING PHILIP",2215,197.0,9.0,70.0,3.0,85.0,68.0,48.0,191.0,19.0,31.0,162.0,80.0,22.0,196.0,34.0,56.0,5.0,0.0,75.0,7.0,128.0,15.0,11.0,84.0,173.0,50.0,6.0,4.0,26.0,97.0,5.0,40.0,62.0,10.0,22.0,4.0,24.0,27.0,30.0,3.0,21.0,221.0,235.0,5.0,23.0,282.0,869.0,15.0,23.0,18.0,24.0,22.0,73.0,13.0,42.0,48.0,45.0,6.0,47.0,7.0,96.0,17.0,89.0,8.0
"GURNEY_ELINOR",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HUBERT_ARTHUR",580,41.0,5.0,14.0,0.0,17.0,7.0,19.0,47.0,8.0,7.0,28.0,11.0,2.0,43.0,8.0,13.0,0.0,0.0,16.0,0.0,37.0,6.0,2.0,20.0,41.0,16.0,1.0,0.0,6.0,24.0,0.0,8.0,18.0,2.0,3.0,0.0,5.0,11.0,4.0,1.0,3.0,42.0,60.0,3.0,2.0,58.0,191.0,4.0,10.0,5.0,7.0,5.0,10.0,5.0,15.0,12.0,11.0,3.0,15.0,5.0,15.0,2.0,21.0,0.0
"PETER_KING JOHN",9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
